country,Life Ladder,Log GDP per capita
Finland,7.703070211410522,10.769117641448975
Luxembourg,7.064007997512817,11.648902654647827
Costa Rica,6.980823087692261,9.92117919921875
Singapore,6.491159703996447,11.47978127002716
Sierra Leone,3.9694967004987927,7.4033481280008955
Afghanistan,2.6920273436440363,7.60257979801723
